mga,11:25 PM,M6828,Miami (MIA),Amerijet International,B763 (N319CM),Departed 3:02 AM,Tuesday Mar 05,departures
mga,2:38 AM,NK434,Fort Lauderdale (FLL),Spirit Airlines,A321 (N670NK),Departed 3:36 AM,Wednesday Mar 06,departures
mga,5:25 AM,AV314,San Salvador (SAL),Avianca,A320 (N426AV),Departed 5:32 AM,Wednesday Mar 06,departures
mga,7:00 AM,LC142,Bluefields (BEF),La Costena,CNF,Unknown,Wednesday Mar 06,departures
mga,7:26 AM,AA902,Miami (MIA),American Airlines,B38M (N313SB),Departed 7:29 AM,Wednesday Mar 06,departures
mga,9:15 AM,AV396,Miami (MIA),Avianca,A320,Estimated dep. 9:24 AM,Wednesday Mar 06,departures
mga,10:25 AM,AV450,Miami (MIA),Avianca,A320,Estimated dep. 10:25 AM,Wednesday Mar 06,departures
mga,11:25 AM,AV392,Miami (MIA),Avianca,A20N,Estimated dep. 11:25 AM,Wednesday Mar 06,departures
mga,1:55 PM,CM105,Panama City (PTY),Copa Airlines,B738,Estimated dep. 2:05 PM,Wednesday Mar 06,departures
mga,2:22 PM,AA928,Miami (MIA),American Airlines,B38M (N341SV),Estimated dep. 2:22 PM,Wednesday Mar 06,departures
mga,2:25 PM,UA1433,Houston (IAH),United Airlines,B738 (N24211),Estimated dep. 2:25 PM,Wednesday Mar 06,departures
mga,2:38 PM,CM361,Guatemala City (GUA),Copa Airlines,B738,Estimated dep. 2:48 PM,Wednesday Mar 06,departures
mga,4:50 PM,AV397,San Salvador (SAL),Avianca,A320,Estimated dep. 4:50 PM,Wednesday Mar 06,departures
mga,6:00 PM,AV451,San Salvador (SAL),Avianca,A320,Estimated dep. 6:00 PM,Wednesday Mar 06,departures
mga,7:00 PM,AV393,San Salvador (SAL),Avianca,A20N,Estimated dep. 7:00 PM,Wednesday Mar 06,departures
mga,2:38 AM,NK434,Fort Lauderdale (FLL),Spirit Airlines,A321 (N672NK),Estimated dep. 2:48 AM,Thursday Mar 07,departures
mga,3:42 AM,CM710,Panama City (PTY),Copa Airlines,B738,Estimated dep. 3:52 AM,Thursday Mar 07,departures
mga,5:25 AM,AV314,San Salvador (SAL),Avianca,A320,Estimated dep. 5:25 AM,Thursday Mar 07,departures
mga,7:26 AM,AA902,Miami (MIA),American Airlines,B38M (N336RU),Estimated dep. 7:40 AM,Thursday Mar 07,departures
mga,2:22 PM,AA928,Miami (MIA),American Airlines,B38M (N339TP),Estimated dep. 2:22 PM,Thursday Mar 07,departures
mga,2:25 PM,UA1433,Houston (IAH),United Airlines,B738 (N24202),Estimated dep. 2:25 PM,Thursday Mar 07,departures
mga,4:50 PM,AV397,San Salvador (SAL),Avianca,320,Estimated dep. 4:50 PM,Thursday Mar 07,departures
mga,6:00 PM,AV451,San Salvador (SAL),Avianca,320,Estimated dep. 6:00 PM,Thursday Mar 07,departures
